blast_qseq_jg3	blast_sseq_jg3	max_pct_longCov	max_pct_shortCov	blast_pident	blast_evalue	blast_qstart	blast_qend	blast_sstart	blast_send	blast_slen
AN0388	AN10550	93.58	96.87	44.76	.0	26	817	24	796	798
AN0388	AN7610	67.12	71.19	43.61	1e-133	215	825	287	874	876
AN0393	AN3049	99.57	100.00	67.72	.0	1	465	1	463	463
AN0393	AN8421	95.70	98.23	41.45	3e-113	7	461	3	447	453
AN0398	AN5990	94.39	95.56	43.50	3e-152	7	547	13	550	563
AN0399	AN1008	96.26	98.19	60.91	.0	8	496	5	504	508
AN0404	AN2300	88.66	89.06	38.03	.0	80	1313	138	1317	1331
AN0404	AN2349	92.91	96.10	33.33	.0	35	1323	50	1280	1281
AN0404	AN3608	95.17	99.53	32.35	.0	1	1323	5	1265	1267
AN0404	AN6237	98.72	99.32	55.85	.0	15	1322	3	1314	1317
AN0404	AN6436	90.73	92.38	35.27	.0	28	1313	115	1338	1349
AN0404	AN9342	90.79	90.86	32.01	2e-173	54	1323	120	1322	1324
AN0410	AN3793	57.70	91.36	65.99	1e-144	2	297	183	479	513
AN0418	AN2598	89.77	91.48	43.78	4e-172	21	643	9	636	681
AN0418	AN7373	94.29	95.10	44.95	.0	22	681	28	694	700
AN0418	AN7557	91.01	93.37	35.37	4e-126	19	666	6	697	712
AN0459	AN1087	90.91	95.62	43.63	2e-127	18	527	19	498	502
AN0477	AN1897	96.30	98.44	45.65	3e-138	1	455	1	442	449
AN0477	AN6390	87.14	93.03	39.02	6e-101	1	440	28	454	490
AN0481	AN0539	60.75	73.99	49.11	.0	230	1054	448	1344	1358
AN0481	AN3325	50.26	69.78	33.50	5e-115	270	1047	744	1536	1548
AN0481	AN7129	79.46	88.78	44.00	.0	230	1115	90	998	998
AN0485	AN3709	74.06	91.95	43.14	3e-124	9	442	133	573	586
AN0485	AN6785	95.19	96.40	41.58	1e-127	13	467	7	474	478
AN0487	AN1607	62.62	71.53	45.47	.0	12	609	38	662	955
AN0489	AN6063	89.55	94.58	63.42	.0	36	503	26	479	480
AN0494	AN5176	83.99	99.78	68.06	.0	7	460	1	446	447
AN0497	AN10720	97.46	98.81	40.70	7e-124	11	511	7	504	504
AN0497	AN6461	94.01	98.24	57.71	.0	10	511	15	534	534
AN0498	AN1691	87.91	92.49	54.48	.0	11	541	36	515	519
AN0498	AN5369	93.04	96.03	48.19	2e-177	35	542	1	518	529
AN0509	AN10838	51.82	62.24	38.61	3e-163	45	846	53	820	1234
AN0509	AN7613	52.83	95.02	38.21	.0	40	873	19	801	824
AN0510	AN9508	81.48	96.80	70.45	1e-124	34	295	7	248	250
AN0517	AN0541	67.81	72.29	36.82	.0	100	1350	4	1208	1667
AN0517	AN12279	24.76	33.06	40.56	2e-102	41	480	61	509	1331
AN0519	AN2205	76.88	82.70	94.77	4e-106	47	199	33	185	185
AN0523	AN1034	74.84	82.28	46.81	6e-106	2049	2451	2290	2707	2723
AN0523	AN12440	49.82	89.23	34.49	.0	446	1709	16	1249	1383
AN0523	AN2032	70.93	78.47	38.17	.0	1	1757	1	1795	2239
AN0523	AN3230	70.69	79.41	39.70	.0	14	1792	8	1758	2205
AN0523	AN3386	79.52	81.19	39.47	.0	1	2061	25	2035	2529
AN0523	AN6448	66.25	67.14	34.36	.0	15	1752	8	1670	2510
AN0523	AN7903	77.74	81.79	50.49	3e-119	2045	2447	2178	2585	2606
AN0523	AN8209	63.26	72.61	25.74	2e-120	137	1703	112	1701	2158
AN0523	AN8383	81.10	81.43	32.24	.0	11	2043	10	2026	2487
AN0526	AN7893	97.60	99.39	61.93	3e-154	1	330	1	325	327
AN0528	AN2746	96.80	98.60	43.26	3e-117	1	429	15	437	437
AN0528	AN7898	86.87	92.54	63.22	.0	33	429	61	457	457
AN0528	AN8366	95.27	98.60	62.03	.0	6	429	22	444	444
AN0530	AN3382	88.82	92.12	42.09	8e-112	19	439	28	472	474
AN0530	AN7902	92.01	93.22	59.58	.0	24	449	29	456	463
AN0532	AN0669	72.30	89.86	46.47	2e-127	1	411	1	381	527
AN0532	AN0826	73.65	96.23	51.82	2e-152	1	411	1	408	554
AN0532	AN0975	78.19	85.38	47.20	2e-130	1	411	1	362	463
AN0532	AN11044	56.28	61.32	56.11	2e-103	148	409	55	314	462
AN0532	AN11091	72.84	93.63	50.86	1e-145	1	409	1	397	545
AN0532	AN3478	73.33	95.99	51.83	5e-153	1	409	1	407	555
AN0532	AN4391	73.33	95.99	52.32	2e-154	1	409	1	407	555
AN0532	AN4877	72.56	92.92	51.09	1e-147	1	411	1	394	543
AN0532	AN5334	72.56	91.04	48.91	4e-139	1	411	1	386	532
AN0532	AN6559	73.33	95.99	52.32	2e-154	1	409	1	407	555
AN0532	AN7516	77.61	96.46	51.58	9e-154	1	411	1	409	527
AN0532	AN8788	74.10	97.17	51.69	2e-153	1	412	1	412	556
AN0539	AN3325	84.56	96.39	44.74	3e-152	181	823	1	645	1548
AN0539	AN7129	69.00	93.89	55.58	3e-158	1	464	1	466	998
AN0541	AN0549	34.97	49.57	35.13	2e-101	3	602	57	639	1176
AN0543	AN3977	69.94	93.68	50.53	9e-107	80	435	8	379	380
AN0543	AN6664	83.10	93.79	51.68	5e-143	13	435	8	450	451
AN0549	AN8481	79.23	97.96	54.81	.0	20	1171	43	1224	1454
AN0549	AN9390	57.14	58.38	41.15	2e-168	16	687	60	740	1151
AN0550	AN0779	52.21	92.20	44.69	.0	215	935	29	751	782
AN0550	AN4825	50.69	77.69	41.64	1e-165	210	909	135	839	901
AN0550	AN8480	99.20	99.20	70.59	.0	1	1372	1	1370	1381
AN0551	AN5748	66.43	83.81	54.89	.0	74	544	143	653	709
AN0554	AN1689	96.02	96.79	55.01	.0	14	495	14	501	502
AN0554	AN4054	93.78	95.50	45.36	9e-132	21	491	20	486	489
AN0554	AN4126	94.26	95.58	56.28	9e-176	13	488	13	489	505
AN0554	AN5435	87.71	94.58	45.34	1e-130	18	488	10	489	537
AN0554	AN9034	96.68	99.40	50.49	4e-176	1	495	1	511	512
AN0562	AN3417	81.26	96.63	38.23	1e-103	2	517	39	619	635
AN0565	AN2243	15.77	78.90	49.35	3e-112	62	448	43	401	455
AN0565	AN5999	46.05	89.27	55.11	.0	478	1525	95	1147	1174
AN0595	AN5838	97.88	99.71	36.01	1e-142	3	696	10	709	709
AN0599	AN2158	94.59	98.87	46.86	1e-119	17	366	1	350	354
AN0606	AN7066	97.09	97.98	37.96	1e-124	6	542	11	543	544
AN0607	AN2545	45.19	65.67	24.57	2e-162	321	3502	3638	6764	6920
AN0607	AN7884	40.12	59.11	24.37	2e-179	287	3149	3752	6566	7016
AN0608	AN6234	96.40	96.40	48.96	3e-148	1	431	1	428	444
AN0609	AN4659	95.83	96.63	39.77	2e-139	6	583	22	595	599
AN0609	AN5272	93.27	98.40	42.71	6e-149	22	587	4	557	563
AN0610	AN8597	96.23	97.08	68.80	5e-167	5	343	9	340	342
AN0614	AN1681	97.69	100.00	61.72	.0	1	508	10	520	520
AN0614	AN9010	98.23	99.01	40.23	2e-108	2	508	6	504	504
AN0617	AN10990	96.37	97.85	59.82	7e-133	8	326	6	331	331
AN0619	AN10600	93.58	97.94	39.05	1e-163	2	760	10	723	729
AN0621	AN2661	12.80	37.81	91.37	4e-109	1	197	1043	1239	1539
AN0621	AN2711	67.92	86.95	82.29	.0	69	521	171	667	667
AN0621	AN2796	74.67	98.46	82.86	.0	1	521	175	687	687
AN0621	AN7094	64.30	100.00	61.56	9e-155	116	521	1	335	335
AN0621	AN8648	32.93	100.00	91.15	.0	1	521	1018	1582	1582
AN0649	AN10657	97.87	100.00	38.88	6e-123	1	563	1	551	551
AN0651	AN1016	99.16	100.00	48.89	2e-116	1	354	1	357	357
AN0651	AN3090	96.40	98.31	46.63	2e-113	1	348	1	356	361
AN0661	AN8479	97.81	99.00	32.95	3e-153	5	911	6	898	902
AN0669	AN0826	95.13	100.00	94.23	.0	1	527	1	554	554
AN0669	AN0975	87.48	99.57	84.84	.0	1	480	1	461	463
AN0669	AN11044	68.88	78.57	92.07	.0	165	527	72	462	462
AN0669	AN11091	96.70	100.00	92.79	.0	1	527	1	545	545
AN0669	AN2291	52.18	70.33	99.64	.0	1	275	1	275	391
AN0669	AN2732	95.64	100.00	85.41	.0	1	527	1	504	504
AN0669	AN3047	65.09	99.42	92.93	.0	1	368	1	343	345
AN0669	AN3478	94.95	100.00	94.41	.0	1	527	1	555	555
AN0669	AN4391	94.95	100.00	94.77	.0	1	527	1	555	555
AN0669	AN4877	96.13	99.05	92.00	.0	1	522	1	535	543
AN0669	AN5334	99.06	100.00	90.27	.0	1	527	1	532	532
AN0669	AN5863	33.78	96.22	100.00	5e-131	98	275	1	178	185
AN0669	AN6559	94.95	100.00	94.77	.0	1	527	1	555	555
AN0669	AN7516	97.91	97.91	89.52	.0	1	516	1	526	527
AN0669	AN8788	67.63	71.35	92.57	.0	1	376	1	404	556
AN0669	AN9505	39.47	99.52	96.15	3e-142	1	208	1	208	209
AN0673	AN6542	92.29	95.48	45.31	8e-119	6	378	8	366	376
AN0681	AN11168	96.02	96.50	64.47	.0	7	392	8	401	402
AN0683	AN3048	98.98	99.74	86.33	.0	1	394	2	391	391
AN0683	AN4335	95.62	99.75	97.96	.0	1	393	1	393	411
AN0683	AN8186	95.60	99.24	91.35	.0	1	393	1	391	409
AN0683	AN9381	100.00	100.00	100.00	.0	1	394	1	394	394
AN0688	AN8551	93.26	94.89	44.26	.0	2	651	8	667	697
AN0688	AN8935	88.96	96.50	43.79	.0	5	665	39	711	743
AN0712	AN2227	95.74	96.54	40.52	.0	11	823	6	815	839
AN0712	AN2612	96.57	97.38	41.31	.0	11	836	13	829	839
AN0712	AN3903	85.22	99.31	37.04	2e-140	110	843	1	721	726
AN0712	AN7865	91.02	95.53	39.02	2e-163	33	823	12	781	806
AN0732	AN1243	79.93	85.87	40.97	9e-115	41	515	76	549	552
AN0732	AN3270	84.82	95.63	53.97	.0	30	541	5	507	526
AN0732	AN4241	75.55	80.00	40.40	3e-105	60	508	74	521	560
AN0732	AN4313	78.41	79.49	39.53	6e-113	49	513	103	569	585
AN0732	AN6451	77.91	87.17	39.87	9e-111	51	512	64	526	530
AN0732	AN7295	78.25	85.14	43.52	1e-128	49	512	76	541	545
AN0732	AN8083	74.54	75.55	39.57	7e-109	60	515	143	590	601
AN0732	AN8122	83.98	93.43	40.91	8e-119	19	516	21	524	533
AN0739	AN11120	76.35	95.48	37.53	6e-108	18	482	140	604	609
AN0739	AN2613	89.02	94.87	41.15	1e-121	18	486	56	517	519
AN0739	AN2675	97.54	97.74	43.60	6e-135	4	486	11	486	488
AN0739	AN6477	87.68	97.95	40.77	2e-117	4	480	43	533	544
AN0739	AN7972	94.16	96.10	48.01	9e-146	4	480	24	491	497
AN0739	AN8610	89.58	97.13	40.29	9e-110	8	480	44	520	528
AN0740	AN3205	98.33	98.33	57.11	.0	5	476	3	478	480
AN0740	AN3573	90.21	96.87	54.11	.0	13	473	11	443	447
AN0740	AN9198	96.04	96.44	56.25	.0	13	473	11	474	478
AN0742	AN8930	95.59	95.83	44.14	.0	27	785	19	790	794
AN0756	AN0980	91.79	91.98	36.21	3e-150	51	967	39	960	997
AN0764	AN9363	96.72	98.18	60.31	3e-145	3	326	7	331	335
AN0771	AN10949	97.00	97.13	60.86	.0	38	1494	30	1491	1502
AN0771	AN1174	90.60	91.15	51.65	.0	109	1493	90	1448	1491
AN0771	AN3247	92.00	95.50	37.51	.0	114	1493	54	1435	1445
AN0771	AN3329	88.73	97.30	36.83	.0	143	1473	10	1346	1368
AN0771	AN3952	89.87	89.99	39.96	.0	143	1490	121	1473	1498
AN0771	AN4749	99.47	99.53	72.62	.0	3	1498	2	1493	1499
AN0771	AN6581	94.27	95.40	36.33	.0	65	1495	48	1490	1518
AN0771	AN8344	96.00	98.43	58.08	.0	61	1500	16	1463	1463
AN0771	AN8489	92.27	97.05	38.63	.0	107	1493	32	1415	1426
AN0771	AN8813	95.80	97.03	36.48	.0	45	1481	3	1457	1481
AN0771	AN8892	86.87	89.92	36.42	.0	190	1493	135	1437	1449
AN0771	AN8928	96.27	98.43	51.09	.0	52	1495	11	1459	1467
AN0771	AN9344	94.67	97.53	51.50	.0	78	1497	31	1450	1456
AN0773	AN4906	84.71	89.56	41.59	6e-144	65	628	63	594	594
AN0775	AN5534	92.06	95.43	54.89	2e-106	13	325	20	336	340
AN0779	AN4825	82.24	94.76	38.91	1e-165	18	758	130	872	901
AN0779	AN4852	89.60	92.58	33.25	3e-114	34	775	80	803	808
AN0779	AN8480	52.21	92.20	43.60	.0	29	755	218	938	1381
AN0789	AN1876	58.44	86.39	61.30	3e-172	38	456	56	514	717
AN0799	AN4566	81.39	93.73	29.01	2e-109	32	790	164	911	919
AN0809	AN10316	64.66	78.08	35.19	.0	14	1166	22	1150	1446
AN0826	AN0975	83.39	99.78	89.78	.0	1	508	1	462	463
AN0826	AN11044	70.40	84.42	98.72	.0	165	554	72	462	462
AN0826	AN11091	98.38	100.00	97.66	.0	1	554	1	545	545
AN0826	AN2291	49.46	70.08	98.91	.0	1	274	1	275	391
AN0826	AN2732	90.97	100.00	90.61	.0	1	554	1	504	504
AN0826	AN3047	61.91	99.42	84.34	.0	1	395	1	343	345
AN0826	AN3478	99.82	100.00	99.10	.0	1	554	1	555	555
AN0826	AN4391	99.82	100.00	99.46	.0	1	554	1	555	555
AN0826	AN4877	96.57	98.53	96.73	.0	1	549	1	535	543
AN0826	AN5334	96.03	100.00	94.95	.0	1	554	1	532	532
AN0826	AN5863	31.95	95.68	98.88	4e-127	98	274	1	178	185
AN0826	AN6559	99.82	100.00	99.46	.0	1	554	1	555	555
AN0826	AN7516	94.95	99.81	94.30	.0	1	543	1	526	527
AN0826	AN8788	72.48	72.74	99.01	.0	1	403	1	404	556
AN0826	AN9505	37.55	99.52	96.15	2e-141	1	208	1	208	209
AN0855	AN10677	53.36	64.75	45.20	2e-144	283	822	231	778	834
AN0856	AN7392	92.10	93.91	36.42	1e-103	23	501	22	499	509
AN0856	AN9441	93.51	97.11	44.62	3e-150	13	516	2	518	539
AN0858	AN1163	76.72	88.89	47.47	.0	161	883	70	781	801
AN0878	AN0901	95.02	95.81	53.11	.0	20	591	30	601	602
AN0878	AN6635	93.77	95.81	35.04	2e-112	10	581	11	607	610
AN0890	AN1423	83.61	99.40	36.62	2e-101	52	575	1	495	498
AN0890	AN4019	82.43	91.90	34.56	5e-109	23	533	8	495	531
AN0901	AN6635	94.75	96.01	37.64	1e-131	14	591	3	607	610
AN0912	AN2793	96.77	97.82	51.50	2e-127	3	361	5	367	371
AN0941	AN7345	91.40	93.59	59.77	.0	25	842	28	874	895
AN0941	AN8953	88.91	97.25	51.68	.0	25	874	43	956	956
AN0942	AN4336	90.96	98.05	53.93	1e-121	8	372	6	357	359
AN0949	AN2830	97.71	97.99	57.48	5e-155	5	345	6	346	349
AN0963	AN10629	85.58	85.78	71.01	.0	62	437	63	436	436
AN0970	AN4119	82.42	85.71	41.32	4e-102	58	465	55	462	495
AN0970	AN4313	71.79	88.24	47.98	4e-128	51	471	121	540	585
AN0970	AN7779	74.54	85.50	41.67	8e-107	64	471	104	510	546
AN0970	AN8083	68.39	86.34	45.76	4e-126	59	471	149	559	601
AN0975	AN11044	74.51	74.68	99.13	.0	118	462	72	416	462
AN0975	AN11091	84.77	99.78	91.98	.0	1	462	1	499	545
AN0975	AN2732	90.87	98.92	80.16	.0	1	462	1	458	504
AN0975	AN3478	83.24	99.78	89.98	.0	1	462	1	509	555
AN0975	AN4391	83.24	99.78	90.37	.0	1	462	1	509	555
AN0975	AN4877	85.08	99.78	87.43	.0	1	462	1	494	543
AN0975	AN5334	86.65	99.57	85.63	.0	1	461	1	485	532
AN0975	AN6559	83.24	99.78	90.37	.0	1	462	1	509	555
AN0975	AN7516	87.48	99.57	86.42	.0	1	461	1	490	527
AN0975	AN8788	64.21	77.11	87.87	.0	1	357	1	404	556
AN0991	AN6930	99.11	99.33	55.96	.0	1	445	1	445	448
AN0993	AN10075	89.48	97.59	41.08	5e-120	2	494	55	539	542
AN0993	AN11116	92.35	93.67	39.32	3e-111	37	497	32	490	490
AN0993	AN5650	97.99	99.39	38.31	4e-117	1	494	1	487	490
AN0993	AN8955	91.55	93.24	45.04	4e-124	1	461	1	455	488
AN0993	AN9010	84.33	85.51	46.01	5e-123	37	461	38	476	504
AN0993	AN9392	90.95	92.62	37.77	1e-108	38	493	33	484	488
AN10011	AN1585	96.39	96.59	44.54	2e-132	3	483	4	487	499
AN10011	AN3829	90.60	96.79	57.11	.0	8	489	41	525	532
AN10011	AN4820	95.20	95.58	45.83	2e-139	8	483	11	490	500
AN10011	AN7315	96.18	97.16	51.14	1e-166	7	485	5	487	493
AN10013	AN8621	86.88	93.07	39.66	4e-106	19	488	41	513	541
AN10028	AN6414	91.52	93.17	42.46	2e-119	29	492	38	501	507
AN1003	AN5790	86.82	98.96	44.47	8e-112	1	385	54	435	440
AN10045	AN6156	50.64	95.56	88.61	2e-144	1	237	230	466	468
AN10045	AN8717	46.86	99.19	84.96	1e-146	1	246	279	524	525
AN10045	AN9495	46.67	98.79	84.49	4e-145	1	245	279	523	525
AN10062	AN2841	98.02	98.80	35.07	7e-110	2	496	3	499	501
AN10062	AN5559	92.87	99.36	48.51	1e-163	1	503	1	469	472
AN10066	AN10127	100.00	100.00	98.90	.0	1	365	1	365	365
AN10066	AN10329	100.00	100.00	98.63	.0	1	365	1	365	365
AN10066	AN4079	73.33	81.37	91.30	.0	6	327	6	302	405
AN10066	AN4291	41.10	92.02	98.00	1e-101	1	150	1	150	163
AN10066	AN5956	82.17	99.73	98.35	.0	2	365	80	443	443
AN10066	AN9416	51.23	65.85	96.79	2e-134	179	365	98	284	284
AN10074	AN9081	97.50	98.56	53.97	.0	3	549	4	556	561
AN10075	AN8955	83.39	92.62	46.96	7e-127	91	542	33	488	488
AN10075	AN9010	87.45	94.05	41.09	6e-106	69	542	27	504	504
AN10078	AN1014	76.00	88.26	38.47	1e-140	138	785	80	703	707
AN10084	AN7418	82.73	97.29	37.17	5e-146	6	580	11	675	695
AN10115	AN10221	88.25	92.72	41.01	5e-129	65	651	25	610	632
AN10122	AN10690	98.02	98.41	76.00	2e-142	5	252	4	253	253
AN10124	AN10375	97.13	97.73	52.42	8e-177	8	480	12	484	487
AN10127	AN10329	100.00	100.00	99.73	.0	1	365	1	365	365
AN10127	AN4079	73.33	81.37	91.30	.0	6	327	6	302	405
AN10127	AN4291	41.10	92.02	98.00	1e-101	1	150	1	150	163
AN10127	AN5956	82.17	99.73	99.45	.0	2	365	80	443	443
AN10127	AN9416	51.23	65.85	96.79	2e-134	179	365	98	284	284
AN10146	AN5068	89.08	94.80	52.66	4e-116	4	321	11	320	348
AN10147	AN2569	90.46	92.37	49.03	4e-104	34	384	22	375	380
AN10147	AN9439	90.72	93.12	48.75	5e-103	33	384	19	373	378
AN10152	AN11120	78.16	99.17	47.66	1e-143	2	477	112	596	609
AN10152	AN6942	81.59	89.58	43.57	2e-127	49	478	67	509	527
AN1017	AN4668	91.58	99.15	63.41	1e-167	1	354	1	348	351
AN10194	AN2482	75.60	82.88	39.09	.0	483	2152	234	1904	2015
AN10198	AN2572	93.70	94.61	39.77	3e-169	9	705	20	703	723
AN10202	AN5129	55.50	91.56	52.91	7e-127	3	363	221	578	645
AN10210	AN10833	97.45	98.35	37.75	1e-120	6	546	7	541	544
AN10210	AN2662	95.26	97.39	38.89	8e-119	6	542	3	525	537
AN10256	AN10632	27.21	100.00	78.52	.0	908	1312	1	357	357
AN10256	AN10649	55.79	66.46	94.87	.0	863	1288	1015	1462	1563
AN10256	AN10846	99.39	99.69	86.53	.0	9	1312	1	1308	1308
AN10256	AN2670	56.96	66.46	94.64	.0	863	1288	1040	1487	1531
AN10256	AN2713	25.53	96.82	86.27	.0	978	1312	1	346	346
AN10256	AN2714	66.46	92.28	82.58	.0	1	872	1	907	945
